Name of Earth Meteorite,ID of Earth Meteorite,Name Type,Recclass,Mass of Earth Meteorite,Year,Latitude,Longitude,Point Coordinates
Kangean,12245,Valid,H5,,1908-01-01T00:00:00.000,-7.0,115.5,"[-7, 115]"
Kangra Valley,12246,Valid,H5,,1897-01-01T00:00:00.000,32.08333,76.3,"[32, 76]"
Kapoeta,12251,Valid,Howardite,,1942-01-01T00:00:00.000,4.7,33.63333,"[4, 33]"
Kaprada,47357,Valid,L5/6,,2004-01-01T00:00:00.000,20.33916,73.22329,"[20, 73]"
Kaptal-Aryk,12253,Valid,L6,,1937-01-01T00:00:00.000,42.45,73.36667,"[42, 73]"
Karakol,12256,Valid,LL6,,1840-01-01T00:00:00.000,47.21667,81.01667,"[47, 81]"
Karatu,12258,Valid,LL6,,1963-01-01T00:00:00.000,-3.5,35.58333,"[-3, 35]"
Karewar,12260,Valid,L6,,1949-01-01T00:00:00.000,12.9,7.15,"[12, 7]"
Karkh,12262,Valid,L6,,1905-01-01T00:00:00.000,27.8,67.16667,"[27, 67]"
Karloowala,12263,Valid,L6,,1955-01-01T00:00:00.000,31.58333,71.6,"[31, 71]"
Karoonda,12264,Valid,CK4,,1930-01-01T00:00:00.000,-35.08333,139.91667,"[-35, 139]"
Kasamatsu,12266,Valid,H,,1938-01-01T00:00:00.000,35.36667,136.76667,"[35, 136]"
Kasauli,30740,Valid,H4,,2003-01-01T00:00:00.000,29.58333,77.58333,"[29, 77]"
Katagum,35465,Valid,L6,,1999-01-01T00:00:00.000,11.33333,10.08333,"[11, 10]"
Kavarpura,47351,Valid,"Iron, IIE-an",,2006-01-01T00:00:00.000,25.14333,75.81333,"[25, 75]"
Kayakent,12268,Valid,"Iron, IIIAB",,1961-01-01T00:00:00.000,39.26333,31.78,"[39, 31]"
Kediri,12270,Valid,L4,,1940-01-01T00:00:00.000,-7.75,112.01667,"[-7, 112]"
Kemer,53654,Valid,L4,,2008-01-01T00:00:00.000,36.54194,29.41822,"[36, 29]"
Kendleton,12275,Valid,L4,,1939-01-01T00:00:00.000,29.45,-96.0,"[29, -96]"
Kendrapara,12276,Valid,H4-5,,2003-01-01T00:00:00.000,20.4625,86.70278,"[20, 86]"
Kerilis,12282,Valid,H5,,1874-01-01T00:00:00.000,48.4,-3.3,"[48, -3]"
Kernouve,12284,Valid,H6,,1869-01-01T00:00:00.000,48.11667,-3.08333,"[48, -3]"
Kesen,12286,Valid,H4,,1850-01-01T00:00:00.000,38.98333,141.61667,"[38, 141]"
Khairpur,12288,Valid,EL6,,1873-01-01T00:00:00.000,29.53333,72.3,"[29, 72]"
Khanpur,12289,Valid,LL5,,1932-01-01T00:00:00.000,25.55,83.11667,"[25, 83]"
Kharkov,12291,Valid,L6,,1787-01-01T00:00:00.000,50.625,35.075,"[50, 35]"
Kheragur,12294,Valid,L6,,1860-01-01T00:00:00.000,26.95,77.88333,"[26, 77]"
Khetri,12296,Valid,H6,,1867-01-01T00:00:00.000,28.01667,75.81667,"[28, 75]"
Khmelevka,12297,Valid,L5,,1929-01-01T00:00:00.000,56.75,75.33333,"[56, 75]"
Khohar,12298,Valid,L3.6,,1910-01-01T00:00:00.000,25.1,81.53333,"[25, 81]"
Khor Temiki,12299,Valid,Aubrite,,1932-01-01T00:00:00.000,16.0,36.0,"[16, 36]"
Kidairat,12300,Valid,H6,,1983-01-01T00:00:00.000,14.0,28.0,"[14, 28]"
Kiel,12301,Valid,L6,,1962-01-01T00:00:00.000,54.4,10.15,"[54, 10]"
Kiffa,12303,Valid,H5,,1970-01-01T00:00:00.000,16.58333,-11.33333,"[16, -11]"
Kijima (1906),12305,Valid,Stone-uncl,,1906-01-01T00:00:00.000,36.85,138.38333,"[36, 138]"
Kikino,12306,Valid,H6,,1809-01-01T00:00:00.000,55.0,34.0,"[55, 34]"
Kilabo,12307,Valid,LL6,,2002-01-01T00:00:00.000,12.76667,9.8,"[12, 9]"
Kilbourn,12308,Valid,H5,,1911-01-01T00:00:00.000,43.58333,-89.6,"[43, -89]"
Killeter,12309,Valid,H6,,1844-01-01T00:00:00.000,54.66667,-7.66667,"[54, -7]"
Kingai,12316,Valid,H6,,1967-01-01T00:00:00.000,11.63333,24.68333,"[11, 24]"
Kirbyville,12321,Valid,Eucrite-mmict,,1906-01-01T00:00:00.000,30.75,-95.95,"[30, -95]"
Kisvarsány,12325,Valid,L6,,1914-01-01T00:00:00.000,48.16667,22.30833,"[48, 22]"
Kitchener,12326,Valid,L6,,1998-01-01T00:00:00.000,43.38333,-80.38333,"[43, -80]"
Klein-Wenden,12332,Valid,H6,,1843-01-01T00:00:00.000,51.6,10.8,"[51, 10]"
Knyahinya,12335,Valid,L/LL5,,1866-01-01T00:00:00.000,48.9,22.4,"[48, 22]"
Kobe,12336,Valid,CK4,,1999-01-01T00:00:00.000,34.73333,135.16667,"[34, 135]"
Kokubunji,12342,Valid,L6,,1986-01-01T00:00:00.000,34.3,133.95,"[34, 133]"
Komagome,12343,Valid,Iron,,1926-01-01T00:00:00.000,35.73333,139.75,"[35, 139]"
Konovo,12344,Valid,LL5,,1931-01-01T00:00:00.000,42.51667,26.16667,"[42, 26]"
Košice,53810,Valid,H5,,2010-01-01T00:00:00.000,48.76367,21.17633,"[48, 21]"
Krähenberg,12353,Valid,LL5,,1869-01-01T00:00:00.000,49.32694,7.46472,"[49, 7]"
Krasnoi-Ugol,12355,Valid,L6,,1829-01-01T00:00:00.000,54.03333,40.9,"[54, 40]"
Krasnyi Klyuch,12357,Valid,H5,,1946-01-01T00:00:00.000,54.33333,56.08333,"[54, 56]"
Krutikha,12363,Valid,OC,,1906-01-01T00:00:00.000,56.8,77.0,"[56, 77]"
Krymka,12364,Valid,LL3.2,,1946-01-01T00:00:00.000,47.83333,30.76667,"[47, 30]"
Kukschin,12368,Valid,L6,,1938-01-01T00:00:00.000,51.15,31.7,"[51, 31]"
Kulak,12369,Valid,L5,,1961-01-01T00:00:00.000,30.73111,66.80222,"[30, 66]"
